city,country,latitude,longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),city ID
katunino,ru,64.45488666860953,40.66694018665544,41,100,90,8.95,551736
pisco,pe,-21.013530294073945,-88.18547881909524,64.4,82,90,5.82,3932145
coihaique,cl,-48.740433565672426,-75.15699452447829,46.11,87,75,10.29,3894426
northam,au,-29.930748757790703,119.45664043498653,62.6,67,90,16.11,7839624
carutapera,br,3.557900799275899,-44.19131130756418,77.9,91,44,6.62,3402648
jumla,np,30.102175179837133,81.62254329328061,46.4,65,0,1.48,1283287
kaeo,nz,-27.035629912160246,177.92841895282038,51.71,78,0,7.52,2189343
burnie,au,-40.51123137715818,144.21018029350222,54.68,84,56,9.64,7839352
guerrero negro,mx,24.98689404027313,-115.21926285631953,59.27,100,92,5.17,4021858
ippy,cf,6.581718756031336,20.95508937606823,75.29,100,88,1.7,238566
neyshabur,ir,36.05191543683428,58.942314729308265,60.08,49,0,4.05,122285
erdenet,mn,48.63380096464783,105.14119795126464,56.89,44,0,1.92,2031405
bubaque,gw,6.00741467246867,-22.27956145906188,82.4,88,40,2.24,2374583
penzance,gb,50.30781829985435,-5.984508422896738,50,93,75,9.17,7294638
marsaxlokk,mt,35.35687781697874,16.070331159035703,64.4,88,20,3.36,2562247
bouar,cf,6.453134279445791,15.560504726152743,71.47,98,80,4.5,2387926
upernavik,gl,89.06694014497626,-43.94646840018788,25.79,100,80,8.97,3418910
khatanga,ru,75.9043147303924,96.42101759671192,26.33,91,20,2.93,2022572
cidreira,br,-37.3715991580667,-41.76438109862403,59.81,97,92,3.71,3466165
barcelona,ph,9.0109375017488,129.1751050275381,83.84,80,88,8.19,1726701
port blair,in,10.092947219188034,89.17591163525657,84.11,100,36,3.04,1259385
aljezur,pt,37.435080328503986,-9.186513290444623,64.27,100,56,21.61,2271968
kikwit,cd,-5.4315038156774875,17.710293219657473,78.53,85,68,5.28,2314705
srednekolymsk,ru,66.40645040447475,153.9648726410191,24.8,94,80,3.15,2121025
longyearbyen,sj,83.7574242925183,25.711147925823695,42.8,70,75,41.38,2729907
mehamn,no,82.07870893402932,28.161072584348886,44.42,91,92,3.27,778707
lorengau,pg,3.990216033227881,148.73453232754548,83.21,100,8,5.61,2092164
paita,pe,-6.8464185160348165,-83.9183321012258,60.89,94,80,5.95,3694112
murgab,tm,37.97709709826579,62.68598644947039,64.4,22,0,4.7,1218612
okhotsk,ru,58.46795479423099,144.42721327970702,31.82,100,48,3.15,2122605
wajir,ke,0.944167187815296,39.47200493296691,87.8,43,40,10.29,178443
kodiak,us,41.31237336782942,-157.9064796881461,35.96,89,1,8.05,5866583
camana,pe,-17.988574504918674,-74.12861992887468,61.16,100,92,9.86,3945985
esperance,au,-34.734915930776175,122.97639389830942,60.67,72,100,16.02,2071860
bawku,gh,10.546824711489649,-0.23603585522633352,84.65,85,0,4.83,2303287
sitka,us,55.59488391023129,-141.76194725519207,51.78,86,90,13.87,5557293
tiksi,ru,71.2172606018193,126.53400292344833,13.73,64,32,7.4,2015306
chara,ru,57.69391308213275,117.73054680111375,22.69,78,0,1.03,2025630
ostrovnoy,ru,78.04849763467743,40.20459766597949,42.08,96,68,11.32,556268
nalhati,in,24.316452286475624,87.61934392712885,87.26,62,8,6.73,1262065
zhangye,cn,38.95993828975841,101.33314306390548,56.75,57,20,3.94,1785036
tuktoyaktuk,ca,75.69153513918508,-133.85227620549043,26.42,100,88,18.14,6170031
vestmannaeyjar,is,55.591063078454255,-20.029749148363663,42.8,87,75,9.17,3412093
tlacotepec,mx,17.586248304047785,-99.9734523047317,62.56,98,36,2.15,3515477
namatanai,pg,-0.4739490887846216,154.43815433066754,84.07,96,24,9.42,2090021
santa cruz de la palma,es,28.545327507571983,-17.519125800712033,75.2,78,20,13.87,2511180
namtsy,ru,64.12072918186414,129.96083271082767,25.84,80,56,6.51,2019488
zyryanovsk,kz,49.926892597684656,84.8370472292408,36.68,80,88,4.16,1516438
campbell river,ca,50.37996163322515,-125.9470036707201,41,93,5,2.24,5914132
kloulklubed,pw,3.4574461401848424,132.34088215239427,84.2,79,75,6.93,7671223
kortkeros,ru,62.138959087144656,51.301307697382214,35.6,74,75,4.47,544397
jaguarari,br,-10.265560838818445,-40.29361022313731,66.11,94,44,5.06,3460225
ribeira grande,pt,37.75061491221358,-42.077146145906426,68,68,40,20.8,8010689
bontang,id,1.1455492669856824,116.09514451441311,83.44,96,64,4.38,1648186
college,us,66.40080341996253,-152.8035936524253,37.98,95,90,9.75,5859699
pontianak,id,-0.08447311280021097,109.42839721337816,87.8,66,20,5.82,1630789
xining,cn,34.333777220207594,99.53943660874518,46.94,67,8,3.6,1788852
botshabelo,za,-29.156525551494042,26.603014220701027,60.8,82,75,18.34,1016670
fortuna,us,37.53394006447334,-133.50968596566588,46.54,93,1,3.36,5563839
saiha,in,22.265998851560397,93.52269531827994,71.06,98,92,2.04,1257771
bryan,us,30.77598253723876,-96.68777457852768,71.96,100,90,5.82,4677008
suraabad,az,40.670643492979764,49.44640369443454,62.6,77,90,6.93,584991
asyut,eg,25.47233620096246,28.836046942212988,82.4,44,0,11.32,359783
amurzet,ru,47.841661470567175,131.35735024744463,44.51,97,92,5.95,2027740
yerbogachen,ru,61.916158211034656,107.20894133287948,40.37,54,0,4.16,2012956
oistins,bb,11.396235036875481,-57.04484136368596,78.8,88,20,5.82,3373652
klaksvik,fo,68.30594592331414,-1.5333905785585955,44.6,87,8,6.93,2618795
zheleznodorozhnyy,ru,62.49765298579396,50.57680371745434,49.1,49,0,3.83,2012561
cockburn town,bs,27.17235581003591,-70.25361926389989,82.27,97,0,10.76,3572627
am timan,td,12.192517116226398,20.459291709460018,87.44,61,24,4.61,245338
shahr-e kord,ir,32.38133920998985,50.730396922008026,69.8,24,20,6.93,115770
antofagasta,cl,-24.32024623517806,-73.83562501151104,57.2,71,90,11.41,3899539
ust-nera,ru,64.52106627901773,141.58004659543303,7.61,100,48,1.81,2120048
altay,cn,46.85528582586349,87.97373232295263,38.93,74,88,2.37,1529651
umm lajj,sa,22.612684477688518,36.23593848304296,89.47,64,0,8.75,100926
riyadh,sa,21.08863567499087,48.13787024693272,91.4,13,0,9.17,108410
narsaq,gl,81.9726763488137,-63.708783234305756,24.8,58,40,4.7,3421719
san vicente,ar,-34.71040381105531,-58.36922191075794,58.91,77,80,4.61,3835767
dunshaughlin,ie,53.51549490475173,-6.533213236327867,42.8,93,40,5.82,2964472
yarega,ru,63.20416119424857,53.61023469359441,34.66,69,92,5.17,468991
cacule,br,-14.707037791466576,-42.02427194282123,66.52,83,0,10.65,3468349
rocha,uy,-48.38101415933289,-42.6817019392831,38.03,81,0,2.93,3440777
dolores,ar,-35.772624853542446,-57.96272601375195,51.94,61,0,10.54,3435038
tobolsk,ru,58.44668983428443,68.48194437929192,35.29,88,88,6.29,1489530
nortelandia,br,-12.065208974065996,-56.97550236917709,72.19,89,32,4.27,3456248
vardo,no,86.0940767364101,35.46146327599263,46.4,93,75,2.24,777019
una,br,-15.17535042952835,-38.74974185540367,73.4,94,40,3.36,3445781
gongzhuling,cn,43.25834483286951,124.92482011537743,53.78,43,0,9.19,2037222
juli,pe,-16.02088271192038,-69.32060393287344,41.18,100,92,2.59,3937516
le port,re,-18.86172877798292,54.76374541722069,78.04,73,56,6.93,935616
nyurba,ru,64.68684087639949,117.89488811554128,32.32,71,0,4.38,2018735
kondagaon,in,19.544792766318466,81.92907071496194,86.32,59,12,1.59,1266216
salalah,om,16.2553119688056,51.78378346210627,77,88,75,11.41,286621
poplar bluff,us,36.70427439856779,-90.09045489666744,51.84,100,90,8.05,4404233
tuatapere,nz,-52.699082967764454,160.62338646534198,42.67,100,0,8.86,2180815
norman wells,ca,85.76597119865812,-117.40425651568572,28.4,79,75,2.24,6089245
senanga,zm,-15.701024262225346,24.09868405548113,93.34,29,44,12.21,898947
vostok,ru,53.050797864469985,149.20338556430977,45.59,71,12,3.6,2013279
cabra,ph,13.243657658768157,119.18219786167714,86.9,94,20,8.63,1721491
rabo de peixe,pt,43.99906765795839,-22.512003858599485,68,68,40,20.8,8014682
port hueneme,us,32.81420216519784,-119.77880226659784,62.17,80,90,3.36,5384339
berlevag,no,88.11980867200819,34.276599879602685,44.02,99,92,4.16,780687
santa cruz,cr,9.04070831673856,-86.68373422092228,73.4,98,92,5.5,3621607
naze,jp,24.678075781242555,136.6484867316696,75.2,78,75,9.17,1855540
victoria,sc,-9.971096081926703,59.88862927227311,86,70,20,9.17,241131
belyy yar,ru,60.27774944828886,84.85598538642631,40.06,45,0,6.17,1510370
samokov,bg,42.26844184257578,23.621366946442635,60.8,31,0,3.36,727462
verkhoyansk,ru,68.55229232744398,132.71546419263626,16.34,86,0,2.59,2013465
las vegas,us,34.993448766840515,-104.91841513102597,61.48,60,1,5.82,5506956
griffith,au,-33.560466780285395,146.84425893239631,74.93,36,12,11.99,7839723
nuuk,gl,60.12531481128846,-56.592120450824794,24.8,62,0,20.8,3421319
coquimbo,cl,-28.334676297593198,-88.68483742177649,46.4,87,0,4.7,3893629
dakar,sn,16.254136898662153,-19.356136539410443,80.6,83,40,9.17,2253354
makakilo city,us,5.572365214452773,-166.04222166154872,75.63,81,1,5.82,5850554
marolambo,mg,-19.688815255740494,48.35789360950656,74.44,75,20,3.94,1060007
port hedland,au,-18.73747308562507,117.71448424514546,80.6,61,0,21.92,7839630
fare,pf,-12.790420010168617,-149.49738556330632,78.26,100,68,16.24,4034496
voh,nc,-22.576759470749565,162.95976992743743,74.84,92,32,18.37,2137748
vidalia,us,32.39601500919392,-82.63873139332811,58.44,82,1,3.36,4228425
lindi,tz,-9.189194508197119,40.31412457703772,82.4,69,75,13.87,878281
rawson,ar,-45.595268392130265,-60.927578189775645,58.87,62,24,18.59,3839307
ilebo,cd,-4.693329103680924,20.210145708698576,74.93,93,64,2.82,215976
mopti,ml,14.87168051801899,-3.9046653942924934,87.04,67,64,2.93,2453348
ust-barguzin,ru,54.07748466258761,108.8601827647093,45.77,56,0,2.04,2013986
shingu,jp,25.65078045203167,139.9578589144404,68.45,52,75,8.05,1852109
fairbanks,us,66.46200509640806,-147.00758714040438,37.98,95,90,9.75,5861897
yulara,au,-25.803625868152977,126.72593258140768,96.8,9,90,21.92,6355222
tiarei,pf,-15.937609299027002,-148.7076049478001,78.8,78,40,3.36,4033356
kalmunai,lk,8.52234119933972,84.754228508815,81.32,92,48,4.72,1242110
meulaboh,id,2.799275039504664,94.4046003498637,80.69,100,88,5.95,1214488
kiboga,ug,1.0875982693873993,31.564401554867544,67.82,100,92,3.38,231550
gibara,cu,21.96854932881041,-75.81694909824591,75.2,94,5,3.36,3558315
lahij,ye,13.911581180056885,45.71721456189289,101.62,21,0,7.74,73560
hualmay,pe,-22.061355384325154,-95.76266109670783,54.77,95,48,3.15,3939761
chapais,ca,55.6204532992802,-71.66310548086666,30.2,68,90,10.29,5919850
kenai,us,65.15315414175947,-153.21366968538916,41.43,79,90,5.82,5866063
severo-kurilsk,ru,43.43508960938152,159.5806851678022,44.47,96,0,6.73,2121385
emmett,us,44.765597094861675,-116.0880896176682,40.15,11,1,8.05,5592562
ndele,cf,7.778660364281038,20.437338118972548,77.54,91,68,10.65,237379
ketchikan,us,52.20994399354254,-134.26980007549992,42.24,92,1,3.36,5554428
balikpapan,id,-1.6674479724604225,116.19625633932515,82.4,74,20,3.36,1650527
sola,vu,-12.25737810904856,168.14872575299853,81.19,94,88,17.02,2134814
vao,nc,-30.644909128836787,165.1692719724963,72.19,100,92,23.96,2137773
manbij,sy,35.5816981540091,39.05975784611212,80.6,30,0,1.12,167357
beatrice,us,40.21351231575568,-96.21485743532588,45.97,92,90,7.74,5063646
bathsheba,bb,19.559887564647255,-44.318599239058784,78.8,88,20,5.82,3374083
husavik,is,68.75533909291534,-14.047270377963912,41,65,20,14.99,2629833
nerchinskiy zavod,ru,51.919104850395115,120.57371036429248,37.09,42,8,6.4,2019323
taoudenni,ml,23.36399339180069,-1.388203970646316,84.38,21,0,5.39,2450173
simao,cn,23.97141431993458,100.35366906291546,75.56,62,68,3.6,1794209
muisne,ec,2.0271509945685438,-81.93740123568676,68.45,99,88,2.93,3653967
inuvik,ca,69.20723708408684,-134.20008513810652,30.2,80,90,6.93,5983607
lenger,kz,42.02970519152069,69.70662734160013,51.8,29,90,11.18,1521379
ratanpur,in,22.392930920086954,82.11179670864192,88.57,58,12,4.5,1258362
buala,sb,-4.052751481860028,160.86336822710263,81.5,90,20,9.98,2109528
los llanos de aridane,es,25.378638910762092,-22.86233502908314,75.2,78,20,13.87,2514651
okha,ru,54.993466170154306,143.0978440954708,46.54,82,36,3.6,2122614
manyana,bw,-23.06302799041937,21.111172165132018,85.73,8,36,14.67,933416
santo antonio do leverger,br,-15.937954049923434,-56.222965978850965,73.4,94,75,5.82,3449502
erzin,ru,49.07931748607078,93.77090201276815,56.71,28,0,3.6,1506938
the valley,ai,24.946350770014618,-62.27886608269472,80.6,78,20,9.17,3573374
kouango,cf,5.029255644119971,19.57737663380422,73.58,100,92,4.5,2385535
sungaipenuh,id,-1.2122568399555718,101.87855755056262,70.7,88,92,0.92,1625929
portland,au,-46.35441779503005,138.47604145967358,67.82,68,92,11.1,2152667
jinzhou,cn,41.27784588153483,121.10575696045703,66.2,59,12,11.18,1805298
khonsa,in,26.676302038437214,96.3483966530926,67.96,97,92,2.37,1266668
el carrizo,mx,24.09766091423083,-107.02501743678735,71.6,90,0,2.82,4010589
hay river,ca,61.899985516714366,-119.0926973060889,35.6,69,40,12.75,5972762
pantai remis,my,4.603726795547459,100.33646765882293,86,79,75,3.36,1752256
yeysk,ru,46.56154703523771,38.13063973491856,61.12,75,0,7.85,466885
pangnirtung,ca,64.01252778785181,-64.18347188928546,26.42,92,88,7.4,6096551
orlik,ru,51.41272350952286,98.97979105265415,39.83,83,0,1.59,1496073
kudahuvadhoo,mv,2.783760418850875,64.48881598677318,83.66,100,0,6.73,1337607
leeton,au,-33.84239813999048,146.71292102829324,73.72,41,68,17.36,2160413
te anau,nz,-41.80627789134845,166.7458210476551,34.07,92,0,2.71,2181625
beringovskiy,ru,61.38537267756334,177.39440203672405,41.27,100,92,18.03,2126710
pandan,ph,16.648394915114338,126.58782435385854,83.57,99,88,8.86,1695546
urusha,ru,54.923562559326456,122.75950021294562,35.06,36,36,8.75,2014078
kysyl-syr,ru,64.22842534710699,124.5232900497549,28.49,80,80,2.71,2021017
wewak,pg,-1.9125443318987152,144.9462443004076,81.68,76,24,4.16,2083537
labuan,my,6.889099001074825,114.36306181671387,81.59,88,90,8.05,1734240
tual,id,-7.694744136810158,136.1546283558505,81.59,100,36,6.17,1623197
kattivakkam,in,13.578218623703322,83.45857075297693,93.2,49,40,8.05,1267433
souillac,mu,-24.63235511841293,58.60299057408267,78.8,61,20,11.41,933995
amnat charoen,th,15.718173894429867,104.82293131620173,90.77,67,36,5.95,1621060
visby,se,57.491567543933485,18.463170764143513,60.8,77,0,10.29,2662689
ruteng,id,-8.39578435712761,120.5979881164327,78.89,81,20,2.93,1629380
ode,ng,8.192389550084101,5.843188805539995,79.79,97,44,7.18,2328090
imbituba,br,-29.40434195797618,-45.94269765045365,64.4,77,75,14.99,3461370
hun,ly,28.994975462138015,14.167955891723068,79.52,34,100,7.4,2216645
zyryanka,ru,65.76565800114449,151.77676351541214,22.91,90,76,3.04,2119283
wajima,jp,39.05361663145797,136.04022769242192,59,82,20,4.7,1848976
